combo_id,advancing_groups,vs_1A,vs_1B,vs_1D,vs_1E,vs_1G,vs_1I,vs_1K,vs_1L
1,"E,F,G,H,I,J,K,L",E,J,I,F,H,G,L,K
2,"D,F,G,H,I,J,K,L",H,G,I,D,J,F,L,K
3,"D,E,G,H,I,J,K,L",E,J,I,D,H,G,L,K
4,"D,E,F,H,I,J,K,L",E,J,I,D,H,F,L,K
5,"D,E,F,G,I,J,K,L",E,G,I,D,J,F,L,K
6,"D,E,F,G,H,J,K,L",E,G,J,D,H,F,L,K
7,"D,E,F,G,H,I,K,L",E,G,I,D,H,F,L,K
8,"D,E,F,G,H,I,J,L",E,G,J,D,H,F,L,I
9,"D,E,F,G,H,I,J,K",E,G,J,D,H,F,I,K
10,"C,F,G,H,I,J,K,L",H,G,I,C,J,F,L,K
11,"C,E,G,H,I,J,K,L",E,J,I,C,H,G,L,K
12,"C,E,F,H,I,J,K,L",E,J,I,C,H,F,L,K
13,"C,E,F,G,I,J,K,L",E,G,I,C,J,F,L,K
14,"C,E,F,G,H,J,K,L",E,G,J,C,H,F,L,K
15,"C,E,F,G,H,I,K,L",E,G,I,C,H,F,L,K
16,"C,E,F,G,H,I,J,L",E,G,J,C,H,F,L,I
17,"C,E,F,G,H,I,J,K",E,G,J,C,H,F,I,K
18,"C,D,G,H,I,J,K,L",H,G,I,C,J,D,L,K
19,"C,D,F,H,I,J,K,L",C,J,I,D,H,F,L,K
20,"C,D,F,G,I,J,K,L",C,G,I,D,J,F,L,K
21,"C,D,F,G,H,J,K,L",C,G,J,D,H,F,L,K
22,"C,D,F,G,H,I,K,L",C,G,I,D,H,F,L,K
23,"C,D,F,G,H,I,J,L",C,G,J,D,H,F,L,I
24,"C,D,F,G,H,I,J,K",C,G,J,D,H,F,I,K
25,"C,D,E,H,I,J,K,L",E,J,I,C,H,D,L,K
26,"C,D,E,G,I,J,K,L",E,G,I,C,J,D,L,K
27,"C,D,E,G,H,J,K,L",E,G,J,C,H,D,L,K
28,"C,D,E,G,H,I,K,L",E,G,I,C,H,D,L,K
29,"C,D,E,G,H,I,J,L",E,G,J,C,H,D,L,I
30,"C,D,E,G,H,I,J,K",E,G,J,C,H,D,I,K
31,"C,D,E,F,I,J,K,L",C,J,E,D,I,F,L,K
32,"C,D,E,F,H,J,K,L",C,J,E,D,H,F,L,K
33,"C,D,E,F,H,I,K,L",C,E,I,D,H,F,L,K
34,"C,D,E,F,H,I,J,L",C,J,E,D,H,F,L,I
35,"C,D,E,F,H,I,J,K",C,J,E,D,H,F,I,K
36,"C,D,E,F,G,J,K,L",C,G,E,D,J,F,L,K
37,"C,D,E,F,G,I,K,L",C,G,E,D,I,F,L,K
38,"C,D,E,F,G,I,J,L",C,G,E,D,J,F,L,I
39,"C,D,E,F,G,I,J,K",C,G,E,D,J,F,I,K
40,"C,D,E,F,G,H,K,L",C,G,E,D,H,F,L,K
41,"C,D,E,F,G,H,J,L",C,G,J,D,H,F,L,E
42,"C,D,E,F,G,H,J,K",C,G,J,D,H,F,E,K
43,"C,D,E,F,G,H,I,L",C,G,E,D,H,F,L,I
44,"C,D,E,F,G,H,I,K",C,G,E,D,H,F,I,K
45,"C,D,E,F,G,H,I,J",C,G,J,D,H,F,E,I
46,"B,F,G,H,I,J,K,L",H,J,B,F,I,G,L,K
47,"B,E,G,H,I,J,K,L",E,J,I,B,H,G,L,K
48,"B,E,F,H,I,J,K,L",E,J,B,F,I,H,L,K
49,"B,E,F,G,I,J,K,L",E,J,B,F,I,G,L,K
50,"B,E,F,G,H,J,K,L",E,J,B,F,H,G,L,K
51,"B,E,F,G,H,I,K,L",E,G,B,F,I,H,L,K
52,"B,E,F,G,H,I,J,L",E,J,B,F,H,G,L,I
53,"B,E,F,G,H,I,J,K",E,J,B,F,H,G,I,K
54,"B,D,G,H,I,J,K,L",H,J,B,D,I,G,L,K
55,"B,D,F,H,I,J,K,L",H,J,B,D,I,F,L,K
56,"B,D,F,G,I,J,K,L",I,G,B,D,J,F,L,K
57,"B,D,F,G,H,J,K,L",H,G,B,D,J,F,L,K
58,"B,D,F,G,H,I,K,L",H,G,B,D,I,F,L,K
59,"B,D,F,G,H,I,J,L",H,G,B,D,J,F,L,I
60,"B,D,F,G,H,I,J,K",H,G,B,D,J,F,I,K
61,"B,D,E,H,I,J,K,L",E,J,B,D,I,H,L,K
62,"B,D,E,G,I,J,K,L",E,J,B,D,I,G,L,K
63,"B,D,E,G,H,J,K,L",E,J,B,D,H,G,L,K
64,"B,D,E,G,H,I,K,L",E,G,B,D,I,H,L,K
65,"B,D,E,G,H,I,J,L",E,J,B,D,H,G,L,I
66,"B,D,E,G,H,I,J,K",E,J,B,D,H,G,I,K
67,"B,D,E,F,I,J,K,L",E,J,B,D,I,F,L,K
68,"B,D,E,F,H,J,K,L",E,J,B,D,H,F,L,K
69,"B,D,E,F,H,I,K,L",E,I,B,D,H,F,L,K
70,"B,D,E,F,H,I,J,L",E,J,B,D,H,F,L,I
71,"B,D,E,F,H,I,J,K",E,J,B,D,H,F,I,K
72,"B,D,E,F,G,J,K,L",E,G,B,D,J,F,L,K
73,"B,D,E,F,G,I,K,L",E,G,B,D,I,F,L,K
74,"B,D,E,F,G,I,J,L",E,G,B,D,J,F,L,I
75,"B,D,E,F,G,I,J,K",E,G,B,D,J,F,I,K
76,"B,D,E,F,G,H,K,L",E,G,B,D,H,F,L,K
77,"B,D,E,F,G,H,J,L",H,G,B,D,J,F,L,E
78,"B,D,E,F,G,H,J,K",H,G,B,D,J,F,E,K
79,"B,D,E,F,G,H,I,L",E,G,B,D,H,F,L,I
80,"B,D,E,F,G,H,I,K",E,G,B,D,H,F,I,K
81,"B,D,E,F,G,H,I,J",H,G,B,D,J,F,E,I
82,"B,C,G,H,I,J,K,L",H,J,B,C,I,G,L,K
83,"B,C,F,H,I,J,K,L",H,J,B,C,I,F,L,K
84,"B,C,F,G,I,J,K,L",I,G,B,C,J,F,L,K
85,"B,C,F,G,H,J,K,L",H,G,B,C,J,F,L,K
86,"B,C,F,G,H,I,K,L",H,G,B,C,I,F,L,K
87,"B,C,F,G,H,I,J,L",H,G,B,C,J,F,L,I
88,"B,C,F,G,H,I,J,K",H,G,B,C,J,F,I,K
89,"B,C,E,H,I,J,K,L",E,J,B,C,I,H,L,K
90,"B,C,E,G,I,J,K,L",E,J,B,C,I,G,L,K
91,"B,C,E,G,H,J,K,L",E,J,B,C,H,G,L,K
92,"B,C,E,G,H,I,K,L",E,G,B,C,I,H,L,K
93,"B,C,E,G,H,I,J,L",E,J,B,C,H,G,L,I
94,"B,C,E,G,H,I,J,K",E,J,B,C,H,G,I,K
95,"B,C,E,F,I,J,K,L",E,J,B,C,I,F,L,K
96,"B,C,E,F,H,J,K,L",E,J,B,C,H,F,L,K
97,"B,C,E,F,H,I,K,L",E,I,B,C,H,F,L,K
98,"B,C,E,F,H,I,J,L",E,J,B,C,H,F,L,I
99,"B,C,E,F,H,I,J,K",E,J,B,C,H,F,I,K
100,"B,C,E,F,G,J,K,L",E,G,B,C,J,F,L,K
101,"B,C,E,F,G,I,K,L",E,G,B,C,I,F,L,K
102,"B,C,E,F,G,I,J,L",E,G,B,C,J,F,L,I
103,"B,C,E,F,G,I,J,K",E,G,B,C,J,F,I,K
104,"B,C,E,F,G,H,K,L",E,G,B,C,H,F,L,K
105,"B,C,E,F,G,H,J,L",H,G,B,C,J,F,L,E
106,"B,C,E,F,G,H,J,K",H,G,B,C,J,F,E,K
107,"B,C,E,F,G,H,I,L",E,G,B,C,H,F,L,I
108,"B,C,E,F,G,H,I,K",E,G,B,C,H,F,I,K
109,"B,C,E,F,G,H,I,J",H,G,B,C,J,F,E,I
110,"B,C,D,H,I,J,K,L",H,J,B,C,I,D,L,K
111,"B,C,D,G,I,J,K,L",I,G,B,C,J,D,L,K
112,"B,C,D,G,H,J,K,L",H,G,B,C,J,D,L,K
113,"B,C,D,G,H,I,K,L",H,G,B,C,I,D,L,K
114,"B,C,D,G,H,I,J,L",H,G,B,C,J,D,L,I
115,"B,C,D,G,H,I,J,K",H,G,B,C,J,D,I,K
116,"B,C,D,F,I,J,K,L",C,J,B,D,I,F,L,K
117,"B,C,D,F,H,J,K,L",C,J,B,D,H,F,L,K
118,"B,C,D,F,H,I,K,L",C,I,B,D,H,F,L,K
119,"B,C,D,F,H,I,J,L",C,J,B,D,H,F,L,I
120,"B,C,D,F,H,I,J,K",C,J,B,D,H,F,I,K
121,"B,C,D,F,G,J,K,L",C,G,B,D,J,F,L,K
122,"B,C,D,F,G,I,K,L",C,G,B,D,I,F,L,K
123,"B,C,D,F,G,I,J,L",C,G,B,D,J,F,L,I
124,"B,C,D,F,G,I,J,K",C,G,B,D,J,F,I,K
125,"B,C,D,F,G,H,K,L",C,G,B,D,H,F,L,K
126,"B,C,D,F,G,H,J,L",C,G,B,D,H,F,L,J
127,"B,C,D,F,G,H,J,K",H,G,B,C,J,F,D,K
128,"B,C,D,F,G,H,I,L",C,G,B,D,H,F,L,I
129,"B,C,D,F,G,H,I,K",C,G,B,D,H,F,I,K
130,"B,C,D,F,G,H,I,J",H,G,B,C,J,F,D,I
131,"B,C,D,E,I,J,K,L",E,J,B,C,I,D,L,K
132,"B,C,D,E,H,J,K,L",E,J,B,C,H,D,L,K
133,"B,C,D,E,H,I,K,L",E,I,B,C,H,D,L,K
134,"B,C,D,E,H,I,J,L",E,J,B,C,H,D,L,I
135,"B,C,D,E,H,I,J,K",E,J,B,C,H,D,I,K
136,"B,C,D,E,G,J,K,L",E,G,B,C,J,D,L,K
137,"B,C,D,E,G,I,K,L",E,G,B,C,I,D,L,K
